Ticker,Account,Qty,Cost/Sh,Curr Price,Total Cost,Mkt Value,Unreal G/L $,Unreal G/L %,Purchase Period,Tax Treatment
BRR,Schwab Taxable,171,10.20,2.71,1744.20,463.41,-1280.79,-73.4,2025-Q3,LT Cap Gain (held >1yr)
CIFR,Schwab Taxable,80,19.84,14.08,1587.20,1126.40,-460.80,-29.0,2025-Q3,LT Cap Gain (held >1yr)
DCO,Schwab Taxable,8,92.70,125.15,741.60,1001.20,259.60,35.0,2025-Q3,LT Cap Gain (held >1yr)
NG,Schwab Taxable,142,9.74,10.41,1383.08,1478.22,95.14,6.9,2025-Q3,LT Cap Gain (held >1yr)
RGLD,Schwab Taxable,8,196.65,259.11,1573.20,2072.88,499.68,31.8,2025-Q3,LT Cap Gain (held >1yr)
SSRM,Schwab Taxable,70,23.94,28.18,1675.80,1972.60,296.80,17.7,2025-Q3,LT Cap Gain (held >1yr)
UMAC,Schwab Taxable,93,12.95,20.40,1204.35,1897.20,692.85,57.5,2025-Q3,LT Cap Gain (held >1yr)
VVX,Schwab Taxable,20,58.20,66.81,1164.00,1336.20,172.20,14.8,2025-Q3,LT Cap Gain (held >1yr)
OUNZ,Schwab Taxable,40,35.00,48.26,1400.00,1930.40,530.40,37.9,2025-Q3,LT Cap Gain (held >1yr)
FBTC,Schwab Taxable,25,62.03,61.98,1550.75,1549.50,-1.25,-0.1,2025-Q3,LT Cap Gain (held >1yr)
NVDA,Schwab Taxable,11,188.00,180.25,2068.00,1982.75,-85.25,-4.1,2026-Jan,ST Cap Gain (<1yr)
TSM,Schwab Taxable,4,338.00,338.31,1352.00,1353.24,1.24,0.1,2026-Jan,ST Cap Gain (<1yr)
MU,Schwab Taxable,3,415.00,426.13,1245.00,1278.39,33.39,2.7,2026-Feb,ST Cap Gain (<1yr)
MSFT,Schwab Taxable,7,415.00,395.55,2905.00,2768.85,-136.15,-4.7,2026-Feb,ST Cap Gain (<1yr)
PLTR,Schwab Taxable,9,104.00,150.95,936.00,1358.55,422.55,45.1,2026-Feb,ST Cap Gain (<1yr)
GOOGL,Schwab Taxable,4,196.00,302.28,784.00,1209.12,425.12,54.2,2026-Feb,ST Cap Gain (<1yr)
VST,Schwab Taxable,9,165.00,158.95,1485.00,1430.55,-54.45,-3.7,2026-Feb,ST Cap Gain (<1yr)
CCJ,Schwab Taxable,9,116.00,107.92,1044.00,971.28,-72.72,-7.0,2026-Feb,ST Cap Gain (<1yr)
FCX,Schwab Taxable,20,60.00,56.35,1200.00,1127.00,-73.00,-6.1,2026-Feb,ST Cap Gain (<1yr)
BN,Schwab Taxable,8,38.50,38.37,308.00,306.96,-1.04,-0.3,2026-Feb,ST Cap Gain (<1yr)
TSLA,Roth IRA,3,413.40,391.20,1240.20,1173.60,-66.60,-5.4,2026-Feb,TAX-FREE (Roth)
AVGO,Roth IRA,2,331.76,322.16,663.52,644.32,-19.20,-2.9,2026-Feb,TAX-FREE (Roth)
PLTR,Roth IRA,3,135.69,150.95,407.07,452.85,45.78,11.3,2026-Feb,TAX-FREE (Roth)
QQQ,Roth IRA,2,607.87,593.72,1215.73,1187.44,-28.29,-2.3,2026-Feb,TAX-FREE (Roth)
ARKQ,Roth IRA,9,122.31,117.27,1100.75,1055.43,-45.32,-4.1,2026-Feb,TAX-FREE (Roth)
XAR,Roth IRA,2,271.62,265.21,543.24,530.42,-12.82,-2.4,2026-Feb,TAX-FREE (Roth)
ARKK,Roth IRA,7,70.13,70.25,490.91,491.75,0.84,0.2,2026-Feb,TAX-FREE (Roth)
NLR,Roth IRA,2,142.54,136.63,285.08,273.26,-11.82,-4.1,2026-Feb,TAX-FREE (Roth)
OXY,OXY LTI (W-2 at vest),4750,57.89,57.88,274977.50,274930.00,-47.50,-0.0,LTI 2026-2028,W-2 Income at Vest (37% fed)
